timestamp,open,high,low,close,volume
2025-02-12 09:00:00,2601.03000000,2794.99000000,2542.21000000,2737.14000000,4299721.893
2025-02-13 09:00:00,2737.14000000,2756.51000000,2610.72000000,2674.52000000,2864504.217
2025-02-14 09:00:00,2674.52000000,2791.00000000,2662.97000000,2724.74000000,2712685.991
2025-02-15 09:00:00,2724.75000000,2738.00000000,2655.31000000,2691.73000000,1286579.513
2025-02-16 09:00:00,2691.74000000,2726.27000000,2643.75000000,2660.00000000,1494743.590
2025-02-17 09:00:00,2660.01000000,2848.76000000,2632.81000000,2743.00000000,4114492.169
2025-02-18 09:00:00,2742.99000000,2755.85000000,2604.18000000,2670.57000000,3579587.482
2025-02-19 09:00:00,2670.56000000,2736.12000000,2654.82000000,2714.06000000,2404564.481
2025-02-20 09:00:00,2714.06000000,2770.50000000,2705.64000000,2736.87000000,2363654.302
2025-02-21 09:00:00,2736.86000000,2845.00000000,2614.76000000,2660.85000000,6002308.013
2025-02-22 09:00:00,2660.86000000,2797.21000000,2651.24000000,2762.01000000,2505671.695
2025-02-23 09:00:00,2762.00000000,2860.90000000,2743.62000000,2818.54000000,3105005.707
2025-02-24 09:00:00,2818.54000000,2839.00000000,2466.34000000,2512.27000000,5891164.461
2025-02-25 09:00:00,2512.26000000,2532.89000000,2287.13000000,2494.45000000,8206583.668
2025-02-26 09:00:00,2494.46000000,2506.45000000,2252.78000000,2335.33000000,6596169.478
2025-02-27 09:00:00,2335.34000000,2381.44000000,2229.00000000,2306.66000000,4574087.764
2025-02-28 09:00:00,2306.65000000,2313.24000000,2070.00000000,2236.59000000,9311975.744
2025-03-01 09:00:00,2236.59000000,2279.75000000,2141.17000000,2216.60000000,3472964.049
2025-03-02 09:00:00,2216.59000000,2550.00000000,2170.09000000,2517.12000000,8185197.482
2025-03-03 09:00:00,2517.12000000,2522.84000000,2094.76000000,2148.22000000,7766111.123
2025-03-04 09:00:00,2148.21000000,2221.77000000,1979.99000000,2170.51000000,9151176.202
2025-03-05 09:00:00,2170.51000000,2272.94000000,2153.70000000,2240.45000000,4626954.982
2025-03-06 09:00:00,2240.44000000,2318.99000000,2175.50000000,2201.34000000,4574430.922
2025-03-07 09:00:00,2201.33000000,2259.34000000,2100.75000000,2140.72000000,6125675.539
2025-03-08 09:00:00,2140.72000000,2234.40000000,2103.07000000,2202.84000000,2667066.135
2025-03-09 09:00:00,2202.83000000,2211.27000000,1986.80000000,2019.20000000,4793159.949
2025-03-10 09:00:00,2019.34000000,2152.99000000,1807.75000000,1864.51000000,9275180.166
2025-03-11 09:00:00,1864.52000000,1969.77000000,1752.50000000,1922.61000000,9136006.396
2025-03-12 09:00:00,1922.60000000,1955.90000000,1828.87000000,1907.24000000,7503776.831
2025-03-13 09:00:00,1907.23000000,1922.00000000,1820.20000000,1863.76000000,5305883.800
2025-03-14 09:00:00,1863.75000000,1945.62000000,1860.41000000,1910.79000000,3494472.929
2025-03-15 09:00:00,1910.78000000,1957.68000000,1902.47000000,1936.27000000,1877714.350
2025-03-16 09:00:00,1936.26000000,1940.00000000,1857.08000000,1885.97000000,3167735.396
2025-03-17 09:00:00,1885.96000000,1951.76000000,1878.66000000,1925.37000000,3207773.053
2025-03-18 09:00:00,1925.36000000,1935.44000000,1871.14000000,1930.64000000,3234486.937
2025-03-19 09:00:00,1930.63000000,2069.69000000,1927.12000000,2055.21000000,6384300.000
